Наименование;Бренд;Форм-фактор;Емкость;Объём буф. памяти;Цена
Seagate ST2000VX008 SATA III 6 Gb/s;Seagate;3.5;2 Tb;64 Mb;12240 руб
Toshiba HDWD105UZSVA;Toshiba;3.5;500 Gb;64 Mb;6200 руб
SATAIII QK554AA;HP;3.5;500Gb;64 Mb;14360 руб
Seagate ST2000NM000A;Seagate;3.5;2 Tb;64 Mb;18690 руб
HGST Ultrastar 7K2;HGST;3.5;2 Tb;128 Mb;25430 руб
Seagate ST1000DM010;Seagate;3.5;1 Tb;64 Mb;7180 руб
Toshiba S300 Surveillance;Toshiba;3.5;4 Tb;128 Mb;10710 руб
Toshiba MG04SCA20EE;Toshiba;3.5;2 Tb;128 Mb;11010 руб
Toshiba HDWD130UZSVA;Toshiba;3.5;3 Tb;64 Mb;11600 руб
HDD Toshiba X300;Toshiba;3.5;6Tb;128 Mb;20820 руб
MbMb cache Seagate;Seagate;3.5;4 Tb;256 Mb;20460 руб
Seagate Skyhawk ST6000VX001;Seagate;3.5;6 Tb;256 Mb;21590 руб
Seagate Barracuda ST4000DM004;Seagate;3.5;4 Tb;256 Mb;13330 руб
Toshiba HDWR160UZSVA;Toshiba;3.5;6 Tb;256 Mb;20810 руб
Seagate IronWolf ST2000VN004;Seagate;3.5;2 Tb;64 Mb;13120 руб
Toshiba HDWT860UZSVA;Toshiba;3.5;6tb;256 Mb;16480 руб
Seagate ST16000NM001G;Seagate;3.5;16 Tb;256 Mb;70200 руб
Toshiba HDWD220UZSVA;Toshiba;3.5;2 Tb;64 Mb;8170 руб
Toshiba X300 HDWR160EZSTA;Toshiba;3.5;6 Tb;128 Mb;21310 руб
Seagate Barracuda ST3000DM007;Seagate;3.5;3 Tb;256 Mb;9050 руб
Toshiba HDWE160UZSVA;Toshiba;3.5;6 Tb;128 Mb;16020 руб
Toshiba HDWR480EZSTA;Toshiba;3.5;8 Tb;256 Mb;25460 руб
Western Digital WD20EFAX;Western Digital;3.5;2 Tb;256 Mb;14590 руб
Toshiba Surveillance S300 HDWT360UZSVA;Toshiba;3.5;6 Tb;256 Mb;16780 руб
MbMb Seagate ST500DM009;Seagate;3.5;500 Gb;32 Mb;6540 руб
Western Digital WD20EZBX;Western Digital;3.5;2 Tb;256 Mb;7670 руб
MbMb Seagate Barracuda ST2000DM008;Seagate;3.5;2 Tb;256 Mb;7110 руб
Toshiba MG06ACA600E;Toshiba;3.5;6 Tb;256 Mb;19650 руб
Western Digital WD5003AZEX;Western Digital;3.5;500 Gb;64 Mb;7910 руб
Western Digital Caviar Red WD10EFRX;Western Digital;3.5;1 Tb;64 Mb;8540 руб
Toshiba HDWD240EZSTA;Toshiba;3.5;4 Tb;128 Mb;11990 руб
Western Digital WD2003FZEX;Western Digital;3.5;2 Tb;64 Mb;25040 руб
Jet Kid Start blue Умные детские часы;Jet;часы;л корпуса: пластик;огия экрана: Монохромный;2310 руб
BAND 6 FOREST GREEN FARA-B19 HUAWEI;Huawei;браслет;л корпуса: полимер;огия экрана: AMOLED;5480 руб
Умные часы GT 3 MIL-B19S BLACK HUAWEI;Huawei;часы;л корпуса: пластик;огия экрана: Монохромный;21810 руб
Умные часы GT 3 MIL-B19V BROWN HUAWEI;Huawei;часы;л корпуса: нержавеющая сталь;огия экрана: AMOLED;21810 руб
GT RUNNER-B19S BLACK HUAWEI;Huawei;часы;л корпуса: пластик;огия экрана: AMOLED;27770 руб
GT RUNNER-B19A GREY HUAWEI;Huawei;часы;л корпуса: пластик;огия экрана: AMOLED;27770 руб
Умные часы GT 3 MIL-B19 GOLD HUAWEI;Huawei;часы;л корпуса: нержавеющая сталь, пластик;огия экрана: AMOLED;24230 руб
Умные часы WATCH 3 GALILEO-L11 STEEL;Huawei;часы;л корпуса: металл, керамика;огия экрана:  AMOLED;32600 руб
Умные часы GT 3 JPT-B19V BROWN HUAWEI;Huawei;часы;л корпуса: нержавеющая сталь, пластик;огия экрана: AMOLED;24230 руб
FIT ELEGANT TIA-B29 MIDNIGHT BLACK;Huawei;часы;л корпуса: нержавеющая сталь;огия экрана: AMOLED;11460 руб
GT 2 MATTE BLACK LTN- B19 HUAWEI;Huawei;часы;л корпуса: пластик, металл;огия экрана: AMOLED;15850 руб
GT 2 PEBBLE BROWN LTN-B19 HUAWEI;Huawei;часы;л корпуса: пластик, металл;огия экрана: AMOLED;17070 руб
GT 2 PRO VID-B19 NEBULA GRAY HUAWEI;Huawei;часы;л корпуса: AMOLED;огия экрана: титан;27770 руб
GT 2 PRO VID-B19 NIGHT BLACK HUAWEI;Huawei;часы;л корпуса: титан;огия экрана: AMOLED;24230 руб
FIT ELEGANT TIA-B29 FROSTY WHITE HUAWEI;Huawei;часы;л корпуса: нержавеющая сталь;огия экрана: AMOLED;11460 руб
FIT TIA-B09 GRAPHITE BLACK HUAWEI;Huawei;часы;л корпуса: металл;огия экрана: AMOLED;9040 руб
KIDS 4 PRO ASN-AL10 BLUE HUAWEI;Huawei;часы;л корпуса: пластик;огия экрана: AMOLED;15850 руб
KIDS 4 PRO ASN-AL10 PINK HUAWEI;Huawei;часы;л корпуса: пластик;огия экрана: AMOLED;15850 руб
GT 2 NIGHT BLACK DIANA-B19S HUAWEI;Huawei;часы;л корпуса: пластик, металл;огия экрана: AMOLED;15850 руб
GT 3 JPT-B19S BLACK HUAWEI;Huawei;часы;л корпуса: нержавеющая сталь, пластик;огия экрана: AMOLED;24230 руб
FIT TIA-B09 DISTILLED BLUE HUAWEI;Huawei;часы;л корпуса: пластик, металл;огия экрана: AMOLED;9040 руб
FIT TIA-B09 SAKURA PINK HUAWEI;Huawei;часы;л корпуса: пластик, металл;огия экрана: AMOLED;9040 руб
Часы Medisana Шагомер ViFit Connect;Medisana;;л корпуса: пластик;огия экрана: OLED;4580 руб
Canyon - CNS-SW82BB;Canyon;-часы;л корпуса: TFT;огия экрана: Монохромный;4840 руб
FLY BLACK G-SM16BLK GEOZON;Geozon;часы;л корпуса: металл;огия экрана: TFT;3880 руб
Canyon - CNS-SW81BG;Canyon;часы;л корпуса: пластик, металл;огия экрана: IPS;4510 руб
MAGIC 2 BLACK 46MM MNS-B39 HONOR;Honor;часы;л корпуса: пластик, металл;огия экрана: AMOLED;11480 руб
BAND FIT PLUS RED G-SM14RED GEOZON;Geozon;браслет;л корпуса: пластик;огия экрана: TFT;3790 руб
Mi Smart Band 6;Xiaomi;браслет;л корпуса: пластик;огия экрана: AMOLED;4700 руб
Jet Kid Pinkie Pie;Jet;-часы;л корпуса: пластик;огия экрана: TFT;5140 руб
Jet Sport SW-4C 1.54;Jet;часы;л корпуса: металл;огия экрана: IPS;4600 руб
Jet Kid Optimus Prime;Jet;часы;л корпуса: пластик;огия экрана: TFT;6050 руб
teXet TM-519R;Texet;крана: 2.4;л корпуса: пластик;ение экрана: 240x320;2490 руб
Fly Ezzy 3;Fly;крана: 1.77;л корпуса: пластик;ение экрана: 128x160;1070 руб
Nokia 150 DS TA-1235;NOKIA;крана:  2.4;л корпуса: поликарбонат;ь аккумулятора: 1020 мАч;3130 руб
BQ 2430 Tank Power;BQ;крана:  2.4;л корпуса: пластик;ение экрана: 240x320;1920 руб
NOKIA 130 Dual Sim;NOKIA;крана: 1.8;л корпуса: пластик;ение экрана: 128x160;1550 руб
Texet TM-B217;Texet;крана: 1.77;л корпуса: пластик;ение экрана: 128x160;1830 руб
NOKIA TA-1253;NOKIA;крана: 2.4;л корпуса: пластик;ение экрана: 240x320;2020 руб
Texet 130-TM;Texet;крана: 1.77;л корпуса: пластик;ение экрана: 128x160;1160 руб
NOKIA 105 SS TA-1203;NOKIA;крана: 1.77;л корпуса: пластик;ение экрана: 120x160;1550 руб
NOKIA 105 DS;NOKIA;крана: 1.77;л корпуса: пластик;ение экрана: 128x160;1460 руб
TEXET TM-408;TEXET;крана: 2.8;л корпуса: пластик;ение экрана: 320x240;2740 руб
NOKIA 105 Dual sim;NOKIA;крана:  1.77;л корпуса: пластик;ение экрана: 120x160;1740 руб
Texet TM-204;Texet;крана:  2.4;л корпуса: пластик;ение экрана: 320x240;1840 руб
NOKIA 3310 Dual;NOKIA;крана: 2.4;л корпуса: пластик;ение экрана: 320x240;3350 руб
NOKIA 3310 Dual;NOKIA;крана: 2.4;л корпуса: пластик;ение экрана: 320x240;4910 руб
Texet 130-TM;Texet;крана: 1.77;л корпуса: пластик;ение экрана: м;1130 руб
NOKIA 106 DS TA-1114;NOKIA;крана: 1.8;л корпуса: пластик;ы: 111.2х49.5х14.4 мм;1720 руб
Texet TM-513R;Texet;крана: 2;л корпуса: пластик;ение экрана: 176x220;3630 руб
teXet TM-B226;Texet;крана: 2.31”;л корпуса: пластик;ение экрана: 320x240;2690 руб
NOKIA 105 DS Blue;NOKIA;крана: 1.77;л корпуса: пластик;ение экрана: 120x160;1460 руб
NOKIA 230 Dual Sim;NOKIA;крана: 2.8;л корпуса: пластик;ение экрана: 320x240;4320 руб
Alcatel 1066D;Alcatel;крана: 1.8;л корпуса: пластик;ение экрана: 160x128;2620 руб
Philips Xenium E172;Philips;крана: 2.4;л корпуса: пластик;ение экрана: 240x320;2700 руб
Alcatel 3025X;Alcatel;крана: 2.8;л корпуса: пластик;ение экрана: 320x240;6600 руб
Philips Xenium E255;Philips;крана: 2.4;л корпуса: пластик;ение экрана: 240x320;3480 руб
Texet TM-D429;Texet;крана: 1.77;л корпуса: пластик;ение экрана: 128x160;1930 руб
Alcatel 2019G;Alcatel;крана: 2.4;л корпуса: пластик;ение экрана: 320x240;4660 руб
Alcatel OT-3025X;Alcatel;крана: 2.8;л корпуса: пластик;ение экрана: 320x240;6600 руб
Digma Linx A230WT 2G;Digma;крана: 2.31”;л корпуса: пластик;ение экрана: 320x240;4100 руб
Fly Ezzy Trendy 1;Fly;крана: 2.4;л корпуса: пластик;ение экрана: 320x240;2030 руб
Fly S240 Dark Grey;Fly;крана: 2.4;л корпуса: пластик;ение экрана: 240x320;1600 руб
NOKIA 3310 Dual;NOKIA;крана: 2.4;л корпуса: пластик;ение экрана: 320x240;6510 руб
Vampire RGB,9 кнопок;Defender;проводная;ение к компьютеру: USB;я: да;1610 руб
Defender Halo Z GM-430L;Defender;роводная;ение к компьютеру: USB;я: да;550 руб
Defender Shark 2;Defender;беспроводная;ение к компьютеру: USB;я: да;1480 руб
Defender sTarx GM-390L;Defender;проводная;ение к компьютеру: USB;я: да;730 руб
Defender Skull GM-180L;Defender;проводная;ение к компьютеру: USB;я: да;485 руб
Defender Killer GM-170L;Defender;проводная;ение к компьютеру: USB;я: да;550 руб
Defender Ghost GM-190L;Defender;проводная;ение к компьютеру: USB;я: да;600 руб
Defender Witcher GM-990;Defender;проводная;ение к компьютеру: USB;я: да;730 руб
Logitech G305 LIGHTSPEED Wireless;Logitech;беспроводная;ение к компьютеру: USB + радиоканал;я: да;8920 руб
Logitech G102 LIGHTSYNC Gaming;Logitech;проводная;ение к компьютеру: USB;я: да;4350 руб
Logitech G PRO HERO Black;Logitech;проводная;ение к компьютеру: USB;я: да;5100 руб
Logitech G402 Hyperion Fury;Logitech;проводная;ение к компьютеру: USB;я: да;4400 руб
STM 109CW;STM;проводная;ение к компьютеру: USB+ радиоканал;я: да;455 руб
Defender MB-986;Defender;проводная;ение к компьютеру: USB;я: да;270 руб
Gembird MG-520;Gembird;проводная;ение к компьютеру: USB;я: да;720 руб
CBR CM 846;CBR;проводная;ение к компьютеру: USB;я: да;790 руб
Гарнизон GM-720G;Гарнизон;проводная;ение к компьютеру: USB;я: да;600 руб
Гарнизон GM-700G;Гарнизон;проводная;ение к компьютеру: USB;я: да;425 руб
Гарнизон GM-760G;Гарнизон;проводная;ение к компьютеру: USB;я: да;610 руб
Гарнизон GM-730G;Гарнизон;проводная;ение к компьютеру: USB;я: да;580 руб
Гарнизон GM-620G;Гарнизон;проводная;ение к компьютеру: USB;я: да;385 руб
A4TECH Bloody Q51;A4TECH;проводная;ение к компьютеру: USB;я: да;1320 руб
MGK-03U Dialog Gan-Kata;MGK;проводная;ение к компьютеру: USB;я: да;260 руб
Defender Flash MB-600L;Defender;проводная;ение к компьютеру: USB;я: да;245 руб
Gembird MG-550;Gembird;проводная;ение к компьютеру: USB;я: да;830 руб
Lenovo Legion M200;Lenovo;проводная;ение к компьютеру: USB;я: да;1460 руб
Sven RX-G750;Sven;проводная;ение к компьютеру: USB;я: да;1590 руб
Wired Gaming Mouse;Wired;проводная;ение к компьютеру: USB;я: да;960 руб
MSI Clutch GM08;MSI;проводная;ение к компьютеру: USB;я: да;1690 руб
Gembird MG-760;Gembird;проводная;ение к компьютеру: USB;я: да;640 руб
MGK-11U Dialog Gan-Kata;MGK;проводная;ение к компьютеру: USB;я: да;435 руб
Logitech G102;Logitech;проводная;ение к компьютеру: USB;я: да;2180 руб
Seagate ST2000VX008 SATA III 6 Gb/s;Seagate;3.5;2 Tb;64 Mb;12240 руб
Toshiba HDWD105UZSVA;Toshiba;3.5;500 Gb;64 Mb;6200 руб
SATAIII QK554AA;HP;3.5;500Gb;64 Mb;14360 руб
Seagate ST2000NM000A;Seagate;3.5;2 Tb;64 Mb;18690 руб
HGST Ultrastar 7K2;HGST;3.5;2 Tb;128 Mb;25430 руб
Seagate ST1000DM010;Seagate;3.5;1 Tb;64 Mb;7180 руб
Toshiba S300 Surveillance;Toshiba;3.5;4 Tb;128 Mb;10710 руб
Toshiba MG04SCA20EE;Toshiba;3.5;2 Tb;128 Mb;11010 руб
Toshiba HDWD130UZSVA;Toshiba;3.5;3 Tb;64 Mb;11600 руб
HDD Toshiba X300;Toshiba;3.5;6Tb;128 Mb;20820 руб
MbMb cache Seagate;Seagate;3.5;4 Tb;256 Mb;20460 руб
Seagate Skyhawk ST6000VX001;Seagate;3.5;6 Tb;256 Mb;21590 руб
Seagate Barracuda ST4000DM004;Seagate;3.5;4 Tb;256 Mb;13330 руб
Toshiba HDWR160UZSVA;Toshiba;3.5;6 Tb;256 Mb;20810 руб
Seagate IronWolf ST2000VN004;Seagate;3.5;2 Tb;64 Mb;13120 руб
Toshiba HDWT860UZSVA;Toshiba;3.5;6tb;256 Mb;16480 руб
Seagate ST16000NM001G;Seagate;3.5;16 Tb;256 Mb;70200 руб
Toshiba HDWD220UZSVA;Toshiba;3.5;2 Tb;64 Mb;8170 руб
Toshiba X300 HDWR160EZSTA;Toshiba;3.5;6 Tb;128 Mb;21310 руб
Seagate Barracuda ST3000DM007;Seagate;3.5;3 Tb;256 Mb;9050 руб
Toshiba HDWE160UZSVA;Toshiba;3.5;6 Tb;128 Mb;16020 руб
Toshiba HDWR480EZSTA;Toshiba;3.5;8 Tb;256 Mb;25460 руб
Western Digital WD20EFAX;Western Digital;3.5;2 Tb;256 Mb;14590 руб
Toshiba Surveillance S300 HDWT360UZSVA;Toshiba;3.5;6 Tb;256 Mb;16780 руб
MbMb Seagate ST500DM009;Seagate;3.5;500 Gb;32 Mb;6540 руб
Western Digital WD20EZBX;Western Digital;3.5;2 Tb;256 Mb;7670 руб
MbMb Seagate Barracuda ST2000DM008;Seagate;3.5;2 Tb;256 Mb;7110 руб
Toshiba MG06ACA600E;Toshiba;3.5;6 Tb;256 Mb;19650 руб
Western Digital WD5003AZEX;Western Digital;3.5;500 Gb;64 Mb;7910 руб
Western Digital Caviar Red WD10EFRX;Western Digital;3.5;1 Tb;64 Mb;8540 руб
Toshiba HDWD240EZSTA;Toshiba;3.5;4 Tb;128 Mb;11990 руб
Western Digital WD2003FZEX;Western Digital;3.5;2 Tb;64 Mb;25040 руб
Defender Warhead G-160;Defender;ения: Проводной;ерный, синий;ушников: Накладные;620 руб
Apex Pro;Defender;ения: Проводной;ерный, красный;ушников: Накладные;1310 руб
Crown CMGH-2000;Crown;ения: Проводной;ерный, красный;ушников: Накладные;1500 руб
Sven AP-G333MV;Sven;ения: Проводной;ерный, красный;ушников: Накладные;870 руб
Sven AP-G300MV;Sven;ения: Проводной;ерный, красный;ушников: Накладные;1030 руб
Defender Warhead G-320;Defender;ения: Проводной;ерный, зеленый;ушников: Накладные;670 руб
Defender Warhead G-320;Defender;ения: Проводной;ерный, красный;ушников: Накладные;700 руб
Defender Tanto 64451;Defender;ения: Проводной;ерный, синий;ушников: Вкладыши;590 руб
Sven AP-U989MV;Sven;ения: Проводной;ерный,  красный;ушников: Закрытые;3770 руб
Harper Gaming Raster GHS-X15;Harper;ения: Проводной;ерный, зелёный;ушников: Накладные;2440 руб
Defender Scylla;Defender;ения: Проводной;ерный, красный;ушников: Закрытые;1410 руб
Logitech G332;Logitech;ения: Проводной;ерный, красный;ушников: Накладные;5150 руб
Perfeo STRIKE;Perfeo;ения: Проводной;ерный, синий;ушников: Накладные;900 руб
Defender Lagopasmtus 2;Defender;ения: Проводной;ерный, красный;ушников: Закрытые;1560 руб
GHS-R100;Harper;ения: Проводной;ерный, зелёный;ушников: Накладные;1300 руб
Defender Memecoleous;Defender;ения: Проводной;ерный, красный;ушников: Закрытые;2520 руб
Defender TUNE 130;Defender;ения: Проводной;ерный, красный;ушников: Накладные;750 руб
Sven AP-U880MV;Sven;ения: Проводной;ерный, красный;ушников:  Закрытые;2210 руб
Dialog HGK-20L;Dialog;ения: Проводной;ерный, красный;ушников: Мониторные;1120 руб
Logitech G333;Logitech;ения: Проводной;иолетовый;ушников: Вкладыши;5330 руб
Sven AP-U990MV;Sven;ения: Проводной;ерный, красный;ушников: Накладные;3360 руб
Crown CMGH-3100;Crown;ения: Проводной;ерный, красный;ушников: Мониторные;3110 руб
Triton звук 7.1;Defender;ения: Проводной;ерный;ушников: Закрытые;4740 руб
Ritmix RH-540M;Ritmix;ения: Проводной;ерный;ушников: Накладные;830 руб
Redragon Minos;Defender;ения: Проводной;ерный, красный;ушников: Накладные;2210 руб
HARRIER 360;Verbatim;ения: Проводной;ерный, синий;ушников: Накладные;4220 руб
Razer Kraken X Lite;Razer;ения: Проводной;ерный;ушников: Мониторные;5030 руб
Defender Lester;Defender;ения: Проводной;ерный, красный;ушников: Накладные;1620 руб
Defender Excidium;Defender;ения: Проводной;ерный, красный;ушников: Накладные;1030 руб
Sven AP-G857MV;Sven;ения: Проводной;ерный, красный;ушников: Накладные;1660 руб
Perfeo  ACTION;Perfeo;ения: Проводной;ерный, красный;ушников: Накладные;950 руб
HP Pavilion Gaming 600;HP;ения: Проводной;ерный, зеленый;ушников: Накладные;4480 руб
